Projects,BHK,Society,Carpet_Area,Furnishing,Bathroom,Price,Rates
Chandrakamal,2,Chandrakamal,938 sqft,Unfurnished,2,₹1.76 Cr ,₹13961 per sqft 
MJ Opera,2,MJ Opera,816 sqft,Unfurnished,2,₹90.9 Lac ,₹7796 per sqft 
ANP Autograph,4,ANP Autograph,1777 sqft,Unfurnished,4,₹2.22 Cr ,₹10039 per sqft 
Kingston Atlantis,3,Kingston Atlantis,1145 sqft,Unfurnished,2,₹1.09 Cr ,₹7663 per sqft 
Nu Era,3,Nu Era,1130 sqft,Unfurnished,3,₹1.99 Cr ,₹13105 per sqft 
Vision Vanessa,3,Vision Vanessa,1423 sqft,Unfurnished,3,₹1.68 Cr ,₹9117 per sqft 
Ambar Zenith,4,Ambar Zenith,1856 sqft,Unfurnished,5,₹3.87 Cr ,₹14920 per sqft 
The Silver Altair,2,The Silver Altair,881 sqft,Unfurnished,2,₹91.3 Lac ,
Samrajya,3,Samrajya,1040 sqft,Unfurnished,3,₹1.10 Cr ,₹7555 per sqft 
Hermes Paras 3,3,Hermes Paras 3,1120 sqft,Unfurnished,3,₹2.37 Cr ,₹15698 per sqft 
24K Altura,3,24K Altura,,Unfurnished,3,₹1.91 Cr ,₹14100 per sqft 
Avaneesh,3,Avaneesh,1199 sqft,Unfurnished,3,₹1.90 Cr ,
Riverdale Grove,4,Riverdale Grove,2290 sqft,Unfurnished,4,₹2.95 Cr ,₹9544 per sqft 
Verista,3,Verista,1258 sqft,Unfurnished,2,₹3.59 Cr ,
Kool Homes Green Valley Phase 2,2,Kool Homes Green Valley Phase 2,955 sqft,Unfurnished,2,₹1.25 Cr ,
Codename TechD,2,Codename TechD,785 sqft,Unfurnished,2,₹75 Lac ,₹7077 per sqft 
Arbor Vista,2,Arbor Vista,755 sqft,Unfurnished,2,₹82 Lac ,₹7869 per sqft 
Pride World City,2,Pride World City,950 sqft,Unfurnished,2,₹85.9 Lac ,
Mantra Mirari,4,Mantra Mirari,1563 sqft,Unfurnished,4,₹2.39 Cr ,
Venkatesh Erandwane Central,3,Venkatesh Erandwane Central,1057 sqft,Semi-Furnished,3,₹2.95 Cr ,₹21470 per sqft 
Aqura Pride,2,Aqura Pride,594 sqft,Unfurnished,2,₹71 Lac ,
Kohinoor Shangrila,2,Kohinoor Shangrila,732 sqft,Unfurnished,2,₹88 Lac ,
Dream Elegance,3,Dream Elegance,1223 sqft,Unfurnished,3,₹1.76 Cr ,₹10669 per sqft 
Adi Amma Insperia,2,Adi Amma Insperia,744 sqft,Unfurnished,2,₹97.2 Lac ,₹9461 per sqft 
NYATI EQUINOX,2,NYATI EQUINOX,838 sqft,Unfurnished,2,₹98 Lac ,₹8663 per sqft 
K Ville,3,K Ville,990 sqft,Unfurnished,3,₹91.6 Lac ,
TCG Cliff Gardens VC Homes,2,TCG Cliff Gardens VC Homes,665 sqft,Unfurnished,2,₹65.5 Lac ,
Purva Emerald Bay,2,Purva Emerald Bay,,Unfurnished,2,₹98 Lac ,₹8126 per sqft 
Paradise Cooperative Housing Society,2,Paradise Cooperative Housing Society,754 sqft,Unfurnished,2,₹93.6 Lac ,
Sensorium,2,Sensorium,783 sqft,Unfurnished,2,₹89 Lac ,
Aryaban,3,Aryaban,1009 sqft,Unfurnished,3,₹87.7 Lac ,
